2e-04 5679.41694643465
2e-04 7377.06828628775
1e-04 3814.45025522133
1e-04 3765.78071346599
5e-05 2500.29640524273
5e-05 2506.61392438309
2.5e-05 1954.82898793748
2.5e-05 1899.52623924115
1.25e-05 1641.23161140196
1.25e-05 1662.05975320577
6.25e-06 1482.15111362243
6.25e-06 1466.6420549822
3.625e-06 1401.37651036696
3.625e-06 1393.32642241294
1.8e-06 1355.72756313036
1.8e-06 1329.0611599833
9e-07 1342.26685490377
9e-07 1339.06502366008
4.5e-07 1475.74316417038
4.5e-07 1294.2189702334
2.2e-07 1318.29373273062
2.2e-07 1283.38384529882
1.1e-07 1354.06225819121
1.1e-07 1351.1314630667
