Ku,Kd (M),temperature
1.2198584096422,8.06094891331579e-07,33
2.75812647965623,1.35164671551622e-06,34.3333333333333
6.41935878743252,1.56255793866762e-06,35.6666666666667
14.5513335466628,1.63755267642013e-06,37
