(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.7,4,0.81,-70,-1.3,37,NA,Rep 1. 0.11 uM
0.47,2.7,0.61,-53,-1.1,26,NA,Rep 2. 0.11 uM
0.49,2.5,0.58,-23,-0.99,16,NA,Rep 1. 0.22 uM
0.47,1.3,0.4,20,-0.58,-27,NA,Rep 2. 0.22 uM
0.73,2.8,0.62,57,-0.92,-200,NA,Rep 1. 0.45 uM
0.69,1.7,0.54,26,-0.77,-36,NA,Rep 2. 0.45 uM
0.47,1.2,0.36,17,-0.51,-21,NA,Rep 1. 0.9 uM
0.84,1.6,0.57,19,-0.8,-22,NA,Rep 2. 0.9 uM
0.44,1.6,0.39,30,-0.55,-68,NA,Rep 1. 1.8 uM
0.42,1.2,0.37,19,-0.53,-28,NA,Rep 2. 1.8 uM
0.45,2,0.53,35,-0.75,-120,NA,Rep 1. 3.6 uM
0.82,2.3,0.79,38,-1.2,-64,NA,Rep 2. 3.6 uM
0.52,2.1,0.61,20,-0.89,-33,NA,Rep 1. 6.2 uM
0.3,1.2,0.36,9.5,-0.48,-14,NA,Rep 2. 6.2 uM
0.19,2.6,0.47,71,-0.65,16,NA,Rep 1. 12 uM
0.25,2,0.57,9.7,-0.79,-18,NA,Rep 2. 12 uM
0.14,2,0.48,4.5,-0.62,-8.1,NA,Rep 1. 25 uM
0.18,1.8,0.57,4.5,-0.74,-6.4,NA,Rep 2. 25 uM
0.18,2,0.68,3.2,-0.84,-4.4,NA,Rep 1. 50 uM
0.16,1.8,0.59,2.7,-0.73,-3.8,NA,Rep 2. 50 uM
0.2,1.9,0.5,2.4,-0.6,-3.3,NA,Rep 1. 100 uM
0.14,1.8,0.43,1.8,-0.51,-2.6,NA,Rep 2. 100 uM
0.26,2.9,0.32,1.4,-0.38,-1.9,NA,Rep 1. 200 uM
0.31,3.5,0.25,1.3,-0.29,-1.7,NA,Rep 2. 200 uM
