ts,conc,fu,legend
33,2e-04,0.0347020390161153,33ºC 
34.3333333333333,2e-04,0.0664093614163395,34.3ºC 
35.6666666666667,2e-04,0.122748669796886,35.7ºC 
37,2e-04,0.214851444227418,37ºC 
33,1e-04,0.0623112620054831,33ºC 
34.3333333333333,1e-04,0.108412237319607,34.3ºC 
35.6666666666667,1e-04,0.181225384637875,35.7ºC 
37,1e-04,0.286136661894988,37ºC 
33,5e-05,0.0508967489610309,33ºC 
34.3333333333333,5e-05,0.0953488656313781,34.3ºC 
35.6666666666667,5e-05,0.170777043548142,35.7ºC 
37,5e-05,0.285770960270506,37ºC 
33,2.5e-05,0.0443851667615264,33ºC 
34.3333333333333,2.5e-05,0.101375971610763,34.3ºC 
35.6666666666667,2.5e-05,0.213783117879426,35.7ºC 
37,2.5e-05,0.394107988692885,37ºC 
33,1.25e-05,0.0680919862634814,33ºC 
34.3333333333333,1.25e-05,0.166530233256962,34.3ºC 
35.6666666666667,1.25e-05,0.351340279628521,35.7ºC 
37,1.25e-05,0.592796944484709,37ºC 
33,6.25e-06,0.390688907676333,33ºC 
34.3333333333333,6.25e-06,0.558076593044369,34.3ºC 
35.6666666666667,6.25e-06,0.712034143329756,35.7ºC 
37,6.25e-06,0.827987520574133,37ºC 
33,3.625e-06,0.384761438273953,33ºC 
34.3333333333333,3.625e-06,0.567887041660158,34.3ºC 
35.6666666666667,3.625e-06,0.732911513940239,35.7ºC 
37,3.625e-06,0.850601245511872,37ºC 
33,1.8e-06,0.488174481844874,33ºC 
34.3333333333333,1.8e-06,0.667189952301647,34.3ºC 
35.6666666666667,1.8e-06,0.807197558333453,35.7ºC 
37,1.8e-06,0.896782074479483,37ºC 
33,9e-07,0.607915488081225,33ºC 
34.3333333333333,9e-07,0.756131669968445,34.3ºC 
35.6666666666667,9e-07,0.860401814476721,35.7ºC 
37,9e-07,0.924125578772126,37ºC 
33,4.5e-07,0.511994343981448,33ºC 
34.3333333333333,4.5e-07,0.700610325210804,34.3ºC 
35.6666666666667,4.5e-07,0.838281648744854,35.7ºC 
37,4.5e-07,0.91937994314482,37ºC 
33,2.2e-07,0.423464877751077,33ºC 
34.3333333333333,2.2e-07,0.645818340356316,34.3ºC 
35.6666666666667,2.2e-07,0.817892036581695,35.7ºC 
37,2.2e-07,0.916506664122779,37ºC 
33,1.1e-07,0.459974707928222,33ºC 
34.3333333333333,1.1e-07,0.688313820422111,34.3ºC 
35.6666666666667,1.1e-07,0.85026918931749,35.7ºC 
37,1.1e-07,0.935418092348279,37ºC 
