temp,conc_,fluo,conc
28.195542774982,1_2e-04,5658.80372058451,2e-04
28.411214953271,1_2e-04,5646.87641877181,2e-04
28.62688713156,1_2e-04,5634.97460848938,2e-04
28.842559309849,1_2e-04,5623.10096895715,2e-04
29.058231488138,1_2e-04,5611.25844651588,2e-04
29.273903666427,1_2e-04,5599.45027877405,2e-04
29.489575844716,1_2e-04,5587.68002045121,2e-04
29.705248023005,1_2e-04,5575.9515709277,2e-04
29.920920201294,1_2e-04,5564.26920347974,2e-04
30.136592379583,1_2e-04,5552.63759613821,2e-04
30.352264557872,1_2e-04,5541.0618640581,2e-04
30.567936736161,1_2e-04,5529.54759322087,2e-04
30.78360891445,1_2e-04,5518.10087521201,2e-04
30.999281092739,1_2e-04,5506.72834271728,2e-04
31.214953271028,1_2e-04,5495.43720526166,2e-04
31.430625449317,1_2e-04,5484.23528457068,2e-04
31.646297627606,1_2e-04,5473.13104876171,2e-04
31.861969805895,1_2e-04,5462.13364437032,2e-04
32.077641984184,1_2e-04,5451.25292497957,2e-04
32.293314162473,1_2e-04,5440.49947494725,2e-04
32.508986340762,1_2e-04,5429.88462641546,2e-04
32.724658519051,1_2e-04,5419.42046743884,2e-04
32.94033069734,1_2e-04,5409.11983868577,2e-04
33.156002875629,1_2e-04,5398.99631575628,2e-04
33.371675053918,1_2e-04,5389.0641737325,2e-04
33.587347232207,1_2e-04,5379.33833014928,2e-04
33.803019410496,1_2e-04,5369.83426216798,2e-04
34.018691588785,1_2e-04,5360.56789338896,2e-04
34.2343637670741,1_2e-04,5351.55544549322,2e-04
34.450035945363,1_2e-04,5342.81324981502,2e-04
34.6657081236521,1_2e-04,5334.35751408609,2e-04
34.8813803019411,1_2e-04,5326.2040400368,2e-04
35.09705248023,1_2e-04,5318.36788837986,2e-04
35.3127246585191,1_2e-04,5310.86298903289,2e-04
35.5283968368081,1_2e-04,5303.70169634527,2e-04
35.7440690150971,1_2e-04,5296.89429165709,2e-04
35.9597411933861,1_2e-04,5290.44843877552,2e-04
36.1754133716751,1_2e-04,5284.36860189617,2e-04
36.3910855499641,1_2e-04,5278.65544004061,2e-04
36.6067577282531,1_2e-04,5273.30519704692,2e-04
36.8224299065421,1_2e-04,5268.30911124406,2e-04
37.0381020848311,1_2e-04,5263.65287374762,2e-04
37.2537742631201,1_2e-04,5259.31616830267,2e-04
37.4694464414091,1_2e-04,5255.27232815148,2e-04
37.6851186196981,1_2e-04,5251.48814587032,2e-04
37.9007907979871,1_2e-04,5247.92386990143,2e-04
38.1164629762761,1_2e-04,5244.5334161566,2e-04
38.3321351545651,1_2e-04,5241.26481440523,2e-04
38.5478073328541,1_2e-04,5238.06089736394,2e-04
38.7634795111431,1_2e-04,5234.86022608739,2e-04
38.9791516894321,1_2e-04,5231.5982294676,2e-04
39.1948238677211,1_2e-04,5228.20851979109,2e-04
39.4104960460101,1_2e-04,5224.62433200601,2e-04
39.6261682242991,1_2e-04,5220.78002324015,2e-04
39.8418404025881,1_2e-04,5216.61256256766,2e-04
40.0575125808771,1_2e-04,5212.06293995649,2e-04
40.2731847591661,1_2e-04,5207.07742801029,2e-04
40.4888569374551,1_2e-04,5201.60864011922,2e-04
40.7045291157441,1_2e-04,5195.61634287932,2e-04
40.9202012940331,1_2e-04,5189.06799758004,2e-04
41.1358734723221,1_2e-04,5181.93902340358,2e-04
41.3515456506111,1_2e-04,5174.21279196679,2e-04
41.5672178289001,1_2e-04,5165.88037747014,2e-04
41.7828900071891,1_2e-04,5156.9400979339,2e-04
41.9985621854781,1_2e-04,5147.39689025625,2e-04
42.2142343637671,1_2e-04,5137.26156507442,2e-04
42.4299065420561,1_2e-04,5126.54998703283,2e-04
42.6455787203451,1_2e-04,5115.28222273367,2e-04
42.8612508986341,1_2e-04,5103.48169319866,2e-04
43.0769230769231,1_2e-04,5091.17436095859,2e-04
43.2925952552121,1_2e-04,5078.38797469181,2e-04
43.5082674335011,1_2e-04,5065.15138728948,2e-04
43.7239396117901,1_2e-04,5051.49395680311,2e-04
43.9396117900791,1_2e-04,5037.44503422228,2e-04
44.1552839683681,1_2e-04,5023.0335375792,2e-04
44.3709561466571,1_2e-04,5008.2876085018,2e-04
44.5866283249461,1_2e-04,4993.23434496928,2e-04
44.8023005032351,1_2e-04,4977.8996025404,2e-04
45.0179726815241,1_2e-04,4962.30785557273,2e-04
45.2336448598131,1_2e-04,4946.48210977488,2e-04
45.4493170381021,1_2e-04,4930.44385768193,2e-04
45.6649892163911,1_2e-04,4914.21306918657,2e-04
45.8806613946801,1_2e-04,4897.80820998355,2e-04
46.0963335729691,1_2e-04,4881.24628160542,2e-04
46.3120057512581,1_2e-04,4864.54287757684,2e-04
46.5276779295471,1_2e-04,4847.71225104528,2e-04
46.7433501078361,1_2e-04,4830.76739002553,2e-04
46.9590222861251,1_2e-04,4813.72009710554,2e-04
47.1746944644141,1_2e-04,4796.58107109106,2e-04
47.3903666427031,1_2e-04,4779.35998861373,2e-04
47.6060388209921,1_2e-04,4762.06558419496,2e-04
47.8217109992811,1_2e-04,4744.70572764848,2e-04
48.0373831775701,1_2e-04,4727.28749802834,2e-04
48.2530553558591,1_2e-04,4709.8172535913,2e-04
48.4687275341481,1_2e-04,4692.30069745202,2e-04
48.6843997124371,1_2e-04,4674.7429387749,2e-04
48.9000718907261,1_2e-04,4657.1485494729,2e-04
49.1157440690151,1_2e-04,4639.52161647959,2e-04
49.3314162473041,1_2e-04,4621.86578973081,2e-04
49.5470884255931,1_2e-04,4604.18432604151,2e-04
