Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
51.9,72.9,4785,3690,-12.1,-10.3,0,Rep 1. 0.2 uM
51.9,71.9,4788,3682,-12.1,-10.3,0,Rep 1. 0.39 uM
52.1,71.2,4793,3683,-12.1,-10.3,0,Rep 1. 0.78 uM
51.9,73.8,4761,3695,-12.1,-10.3,0,Rep 1. 1.6 uM
51.9,73.7,4791,3705,-12.1,-10.3,0,Rep 1. 3.1 uM
52.4,77.7,4800,3734,-12.1,-10.3,0,Rep 1. 6.2 uM
52.2,77.9,4855,3793,-12.1,-10.3,0,Rep 1. 12 uM
53.8,98.3,4889,3866,-12.1,-10.3,0,Rep 1. 25 uM
53.5,96.4,4985,4041,-12.1,-10.3,0,Rep 1. 50 uM
54.3,127,5240,4373,-12.1,-10.3,0,Rep 1. 100 uM
55.1,245,5721,4980,-12.1,-10.3,0,Rep 1. 200 uM
