ts,conc,fu,legend
49,2e-04,0.000792632809530771,49ºC 
50,2e-04,0.0025878358254024,50ºC 
51,2e-04,0.00835389588212881,51ºC 
52,2e-04,0.0264375018402518,52ºC 
49,1e-04,0.0393883596055191,49ºC 
50,1e-04,0.0703327932405494,50ºC 
51,1e-04,0.122082418836723,51ºC 
52,1e-04,0.202964444449863,52ºC 
49,5e-05,0.110135265142339,49ºC 
50,5e-05,0.164748196620768,50ºC 
51,5e-05,0.238640876643938,51ºC 
52,5e-05,0.331851110294009,52ºC 
49,2.5e-05,0.0938566940066601,49ºC 
50,2.5e-05,0.142801095382076,50ºC 
51,2.5e-05,0.210828576572091,51ºC 
52,2.5e-05,0.299314534957623,52ºC 
49,1.25e-05,0.233323442990583,49ºC 
50,1.25e-05,0.307292736581167,50ºC 
51,1.25e-05,0.392146355177117,51ºC 
52,1.25e-05,0.483482271420789,52ºC 
49,6.25e-06,0.219424883331209,49ºC 
50,6.25e-06,0.290439452999674,50ºC 
51,6.25e-06,0.372899264652759,51ºC 
52,6.25e-06,0.462907233329381,52ºC 
49,3.125e-06,0.265773789592832,49ºC 
50,3.125e-06,0.340803975541815,50ºC 
51,3.125e-06,0.424224586362557,51ºC 
52,3.125e-06,0.511654159599236,52ºC 
49,1.5625e-06,0.263012881344617,49ºC 
50,1.5625e-06,0.33768374327356,50ºC 
51,1.5625e-06,0.420895001161825,51ºC 
52,1.5625e-06,0.508312192934672,52ºC 
49,7.8125e-07,0.254735750371105,49ºC 
50,7.8125e-07,0.325320692981119,50ºC 
51,7.8125e-07,0.404328191592757,51ºC 
52,7.8125e-07,0.488101423568678,52ºC 
49,3.90625e-07,0.26709954876891,49ºC 
50,3.90625e-07,0.340355478248123,50ºC 
51,3.90625e-07,0.421607553796347,51ºC 
52,3.90625e-07,0.506807009988666,52ºC 
49,1.953125e-07,0.268605764941221,49ºC 
50,1.953125e-07,0.34317773257745,50ºC 
51,1.953125e-07,0.425851529194127,51ºC 
52,1.953125e-07,0.512351322171164,52ºC 
