(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
1.6,3.2,0.97,18,-1.3,-27,NA,Rep 1. 0.2 uM
0.87,2.4,0.49,12,-0.69,-18,NA,Rep 1. 0.39 uM
0.68,2.7,0.47,10,-0.65,-16,NA,Rep 1. 0.78 uM
0.8,1.8,0.45,9.6,-0.59,-13,NA,Rep 1. 1.6 uM
0.54,2,0.35,8.3,-0.48,-14,NA,Rep 1. 3.1 uM
0.63,2.5,0.51,8.3,-0.68,-12,NA,Rep 1. 6.2 uM
0.38,2.2,0.4,5.1,-0.52,-7.9,NA,Rep 1. 12 uM
0.52,3.2,0.69,5.2,-0.92,-7.2,NA,Rep 1. 25 uM
0.25,3,0.54,2.3,-0.74,-3.4,NA,Rep 1. 50 uM
0.25,3.2,0.69,1.7,-0.94,-2.4,NA,Rep 1. 100 uM
0.27,3.4,0.82,1.5,-1.1,-2,NA,Rep 1. 200 uM
