Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
35.1,57.4,2872,2331,-6.55,-5.24,0,Rep 1. 0.2 uM
34.3,74.1,2506,2305,-5.47,-5.17,0,Rep 1. 0.39 uM
34.8,85.9,2546,2198,-5.61,-4.81,0,Rep 1. 0.78 uM
34.2,66.5,2886,2926,-6.69,-7.28,0,Rep 1. 1.6 uM
35.3,81.1,2674,1858,-6.01,-3.67,0,Rep 1. 3.1 uM
35.8,75.8,2910,2326,-6.69,-5.17,0,Rep 1. 6.2 uM
36.8,84.1,3018,2169,-7.07,-4.65,0,Rep 1. 12 uM
37.2,77.7,3377,3264,-7.77,-7.8,0,Rep 1. 25 uM
38.8,101,3498,3250,-7.8,-7.31,0,Rep 1. 50 uM
40.2,91.7,4693,4737,-10.5,-11,0,Rep 1. 100 uM
40.6,85.2,7164,7885,-16.3,-19.2,0,Rep 1. 200 uM
