ts,conc,fu,legend
49,2e-04,0.0187383709397971,49ºC 
50.6666666666667,2e-04,0.0618798060664914,50.7ºC 
52.3333333333333,2e-04,0.183652104315752,52.3ºC 
54,2e-04,0.431088538826272,54ºC 
49,1e-04,0.0289725253932002,49ºC 
50.6666666666667,1e-04,0.0903650159144122,50.7ºC 
52.3333333333333,1e-04,0.246255483739576,52.3ºC 
54,1e-04,0.514917651202085,54ºC 
49,5e-05,0.130050306172662,49ºC 
50.6666666666667,5e-05,0.260664233261919,50.7ºC 
52.3333333333333,5e-05,0.451822199716049,52.3ºC 
54,5e-05,0.656389264621966,54ºC 
49,2.5e-05,0.642792062883184,49ºC 
50.6666666666667,2.5e-05,0.771638973486303,50.7ºC 
52.3333333333333,2.5e-05,0.863093153956811,52.3ºC 
54,2.5e-05,0.921180866125785,54ºC 
49,1.25e-05,0.726678751295969,49ºC 
50.6666666666667,1.25e-05,0.869325867883489,50.7ºC 
52.3333333333333,1.25e-05,0.942826572431417,52.3ºC 
54,1.25e-05,0.975904167164675,54ºC 
49,6.25e-06,0.828772988026331,49ºC 
50.6666666666667,6.25e-06,0.953886742804919,50.7ºC 
52.3333333333333,6.25e-06,0.988649271166937,52.3ºC 
54,6.25e-06,0.997240721771682,54ºC 
49,3.625e-06,0.878046872023657,49ºC 
50.6666666666667,3.625e-06,0.975466380065377,50.7ºC 
52.3333333333333,3.625e-06,0.995386659908654,52.3ºC 
54,3.625e-06,0.99913182981906,54ºC 
49,1.8e-06,0.897527342706255,49ºC 
50.6666666666667,1.8e-06,0.98063600765996,50.7ºC 
52.3333333333333,1.8e-06,0.996534939026587,52.3ºC 
54,1.8e-06,0.999377177473246,54ºC 
49,9e-07,0.9093887208296,49ºC 
50.6666666666667,9e-07,0.984320954324299,50.7ºC 
52.3333333333333,9e-07,0.997412012209329,52.3ºC 
54,9e-07,0.999569636604193,54ºC 
49,4.5e-07,0.909062236633558,49ºC 
50.6666666666667,4.5e-07,0.984610028449326,50.7ºC 
52.3333333333333,4.5e-07,0.997517021308012,52.3ºC 
54,4.5e-07,0.999596274257105,54ºC 
49,2.2e-07,0.91833856719862,49ºC 
50.6666666666667,2.2e-07,0.986650359636237,50.7ºC 
52.3333333333333,2.2e-07,0.997905587838304,52.3ºC 
54,2.2e-07,0.999668303161289,54ºC 
49,1.1e-07,0.888218875595878,49ºC 
50.6666666666667,1.1e-07,0.976339395981,50.7ºC 
52.3333333333333,1.1e-07,0.995276411648164,52.3ºC 
54,1.1e-07,0.99905586037976,54ºC 
