Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
46.9,205,5691,24.7,-11.7,4.21,0,Rep 1. 0.11 uM
46.8,228,3656,-227.8,-5.65,4.79,0,Rep 2. 0.11 uM
46.9,234,4011,-631,-6.65,6.14,0,Rep 1. 0.22 uM
46.9,210,5159,296.2,-10.2,3.16,0,Rep 2. 0.22 uM
47,231,4482,-417.6,-8.18,5.42,0,Rep 1. 0.45 uM
46.9,200,5485,1242,-11.1,0.278,0,Rep 2. 0.45 uM
46.9,228,4159,-246.2,-7.17,4.92,0,Rep 1. 0.9 uM
47,195,5989,797.7,-12.8,1.6,0,Rep 2. 0.9 uM
47,218,4299,150.7,-7.6,3.68,0,Rep 1. 1.8 uM
47,221,4184,-132.5,-7.26,4.55,0,Rep 2. 1.8 uM
47.1,213,4000,35.27,-6.79,4.05,0,Rep 1. 3.6 uM
47,218,3240,162.4,-4.42,3.67,0,Rep 2. 3.6 uM
47.2,181,3691,1959,-5.94,-2.02,0,Rep 1. 6.2 uM
47.2,172,4124,2222,-7.21,-2.81,0,Rep 2. 6.2 uM
47.2,114,6225,5988,-13.8,-14.7,0,Rep 1. 12 uM
47.3,131,5052,4059,-10.2,-8.52,0,Rep 2. 12 uM
47.5,78.4,5571,7457,-11.9,-19.1,0,Rep 1. 25 uM
47.6,81.5,5551,6661,-11.8,-16.6,0,Rep 2. 25 uM
52.7,107,6741,3451,-15.3,-5.7,0,Rep 1. 50 uM
58.7,376,5147,762.3,-10.4,2.88,0,Rep 2. 50 uM
53.9,150,7727,6423,-17.7,-14.3,0,Rep 1. 100 uM
53.9,158,8260,7122,-19.1,-16.3,0,Rep 2. 100 uM
54.4,154,10230,7523,-24.2,-16.8,0,Rep 1. 200 uM
54.3,163,9949,7485,-23.4,-16.6,0,Rep 2. 200 uM
