(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.11,3,1.1,>100,-1.5,54,NA,Rep 1. 0.11 uM
0.12,3.7,1.8,-330,-3.5,50,NA,Rep 2. 0.11 uM
0.11,3.6,1.6,-110,-2.9,37,NA,Rep 1. 0.22 uM
0.11,3,1.1,>100,-1.7,70,NA,Rep 2. 0.22 uM
0.09,3,1.2,-140,-2,34,NA,Rep 1. 0.45 uM
0.13,3.3,1.2,65,-1.8,>100,NA,Rep 2. 0.45 uM
0.11,3.7,1.6,-290,-2.7,47,NA,Rep 1. 0.9 uM
0.13,3.1,1.1,98,-1.5,>100,NA,Rep 2. 0.9 uM
0.13,4,1.7,>100,-2.8,69,NA,Rep 1. 1.8 uM
0.11,3.5,1.5,-520,-2.6,48,NA,Rep 2. 1.8 uM
0.12,3.4,1.4,>100,-2.5,49,NA,Rep 1. 3.6 uM
0.12,3.7,1.9,>100,-4.2,58,NA,Rep 2. 3.6 uM
0.16,3.7,1.8,37,-3.3,-110,NA,Rep 1. 6.2 uM
0.18,3.8,1.7,37,-2.8,-92,NA,Rep 2. 6.2 uM
0.26,2.6,0.94,13,-1.3,-17,NA,Rep 1. 12 uM
0.23,3,1.1,18,-1.7,-27,NA,Rep 2. 12 uM
0.41,2.3,0.99,9,-1.4,-11,NA,Rep 1. 25 uM
0.36,2.2,0.87,8.7,-1.2,-11,NA,Rep 2. 25 uM
0.29,5.1,1.1,5.5,-1.4,-11,NA,Rep 1. 50 uM
0.78,64,4.4,12,-6.4,9.5,NA,Rep 2. 50 uM
0.14,4.2,1.1,1.8,-1.4,-2.6,NA,Rep 1. 100 uM
0.15,4.8,1.1,1.8,-1.4,-2.5,NA,Rep 2. 100 uM
0.092,2.9,0.7,1.2,-0.88,-1.8,NA,Rep 1. 200 uM
0.1,3.4,0.79,1.4,-1,-2,NA,Rep 2. 200 uM
