Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
52.2,75.6,4211,3784,-10.3,-10.5,6.248776118231,Rep 1. 0.2 uM
51.9,72.8,4145,3725,-10.3,-10.5,6.248776118231,Rep 1. 0.39 uM
52,71.8,4154,3718,-10.3,-10.5,6.248776118231,Rep 1. 0.78 uM
52.1,74.2,4145,3731,-10.3,-10.5,6.248776118231,Rep 1. 1.6 uM
52.4,74.2,4189,3772,-10.3,-10.5,6.248776118231,Rep 1. 6.2 uM
51.7,68,4249,3850,-10.3,-10.5,6.248776118231,Rep 1. 12 uM
53.4,96.4,4290,4021,-10.3,-10.5,6.248776118231,Rep 1. 25 uM
53.1,86.6,4387,4079,-10.3,-10.5,6.248776118231,Rep 1. 50 uM
55,125,4569,4359,-10.3,-10.5,6.248776118231,Rep 1. 100 uM
55.6,206,5066,4951,-10.3,-10.5,6.248776118231,Rep 1. 200 uM
