(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.75,10,1.5,3.4,-1.8,-4,21.228936952944,Rep 1. 0.2 uM
0.9,12,1.5,3.5,-1.8,-4,21.228936952944,Rep 1. 0.39 uM
0.96,13,1.5,3.5,-1.8,-4,21.228936952944,Rep 1. 0.78 uM
0.82,11,1.5,3.5,-1.8,-4,21.228936952944,Rep 1. 1.6 uM
0.83,11,1.5,3.4,-1.8,-4,21.228936952944,Rep 1. 6.2 uM
1.2,16,1.5,3.3,-1.8,-4,21.228936952944,Rep 1. 12 uM
0.26,4,1.5,3.3,-1.8,-4,21.228936952944,Rep 1. 25 uM
0.4,5.8,1.4,3.2,-1.8,-4,21.228936952944,Rep 1. 50 uM
0.13,2.7,1.4,3.1,-1.8,-4,21.228936952944,Rep 1. 100 uM
0.1,4,1.2,2.8,-1.8,-4,21.228936952944,Rep 1. 200 uM
