Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
46.4,184,5324,581.1,-11.3,1.97,0,Rep 1. 0.11 uM
46.4,193,4392,312.2,-8.53,2.78,0,Rep 2. 0.11 uM
46.5,186,4387,649.1,-8.39,1.82,0,Rep 1. 0.22 uM
46.3,188,6480,2943,-13.4,-3.64,0,Rep 2. 0.22 uM
46.5,185,5184,407.9,-10.9,2.53,0,Rep 1. 0.45 uM
46.4,188,4058,602.1,-7.45,1.88,0,Rep 2. 0.45 uM
46.6,179,5769,745.8,-12.7,1.45,0,Rep 1. 0.9 uM
46.5,186,5173,755.4,-10.9,1.43,0,Rep 2. 0.9 uM
46.6,179,4934,933.8,-10,0.947,0,Rep 1. 1.8 uM
46.6,176,5208,881.6,-10.9,1.09,0,Rep 2. 1.8 uM
46.6,178,5231,1533,-11,-0.889,0,Rep 1. 3.6 uM
46.7,185,4009,1167,-7.13,0.325,0,Rep 2. 3.6 uM
47,171,5770,1912,-12.4,-1.83,0,Rep 1. 6.2 uM
47,163,6146,2231,-13.5,-2.84,0,Rep 2. 6.2 uM
47.4,156,6529,3621,-14.3,-6.79,0,Rep 1. 12 uM
47.4,154,6689,3782,-14.8,-7.35,0,Rep 2. 12 uM
48,141,7733,5827,-17.3,-13.2,0,Rep 1. 25 uM
48.3,136,7950,6095,-17.7,-13.8,0,Rep 2. 25 uM
48.8,134,10300,7693,-23.9,-17.8,0,Rep 1. 50 uM
48.6,151,8652,7828,-19.1,-18.4,0,Rep 2. 50 uM
49.3,130,13810,10950,-32.3,-25.5,0,Rep 1. 100 uM
49.2,116,14710,11770,-35.4,-28.7,0,Rep 2. 100 uM
49.2,113,22200,17240,-54.3,-41.1,0,Rep 1. 200 uM
48.9,113,23540,17740,-58.1,-42.2,0,Rep 2. 200 uM
