(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.046,1.5,1.5,20,-2.2,19,NA,Rep 1. 0.11 uM
0.053,1.8,2.1,41,-3.3,15,NA,Rep 2. 0.11 uM
0.05,1.7,2,18,-3.2,21,NA,Rep 1. 0.22 uM
0.05,1.7,1.1,3.5,-1.6,-9.2,NA,Rep 2. 0.22 uM
0.045,1.5,1.5,27,-2.2,14,NA,Rep 1. 0.45 uM
0.05,1.7,2.1,20,-3.5,20,NA,Rep 2. 0.45 uM
0.043,1.4,1.4,14,-1.9,24,NA,Rep 1. 0.9 uM
0.049,1.6,1.7,16,-2.5,27,NA,Rep 2. 0.9 uM
0.054,1.7,1.9,14,-2.9,43,NA,Rep 1. 1.8 uM
0.044,1.4,1.5,12,-2.2,31,NA,Rep 2. 1.8 uM
0.053,1.7,1.8,8.1,-2.6,-45,NA,Rep 1. 3.6 uM
0.052,1.8,2.3,10,-3.9,>100,NA,Rep 2. 3.6 uM
0.055,1.7,1.7,6,-2.4,-20,NA,Rep 1. 6.2 uM
0.053,1.6,1.7,5.4,-2.3,-14,NA,Rep 2. 6.2 uM
0.041,1.2,1.3,2.2,-1.8,-3.8,NA,Rep 1. 12 uM
0.043,1.2,1.3,2.3,-1.8,-3.9,NA,Rep 2. 12 uM
0.045,1.2,1.4,1.5,-1.9,-2.1,NA,Rep 1. 25 uM
0.046,1.1,1.5,1.4,-2.1,-2,NA,Rep 2. 25 uM
0.043,1.1,1.3,1,-1.7,-1.4,NA,Rep 1. 50 uM
0.036,0.99,1.3,0.88,-1.8,-1.2,NA,Rep 2. 50 uM
0.056,1.3,1.5,0.89,-1.9,-1.2,NA,Rep 1. 100 uM
0.09,1.8,2.2,1.4,-2.8,-1.8,NA,Rep 2. 100 uM
0.078,1.6,1.2,0.78,-1.4,-1.1,NA,Rep 1. 200 uM
0.09,1.9,1.2,0.93,-1.4,-1.3,NA,Rep 2. 200 uM
