ts,conc,fu,legend
46,2e-04,0.148815342435955,46ºC 
47,2e-04,0.233733446249526,47ºC 
48,2e-04,0.34654958369753,48ºC 
49,2e-04,0.47887093838233,49ºC 
46,1e-04,0.111020523019741,46ºC 
47,1e-04,0.191591621068175,47ºC 
48,1e-04,0.309377076214302,48ºC 
49,1e-04,0.457523213827439,49ºC 
46,5e-05,0.139686555867804,46ºC 
47,5e-05,0.238825912007547,47ºC 
48,5e-05,0.376492841840211,48ºC 
49,5e-05,0.536470223110584,49ºC 
46,2.5e-05,0.20382616601772,46ºC 
47,2.5e-05,0.339212404943141,47ºC 
48,2.5e-05,0.506151005646551,48ºC 
49,2.5e-05,0.670781993811825,49ºC 
46,1.25e-05,0.249047124073084,46ºC 
47,1.25e-05,0.417139416426975,47ºC 
48,1.25e-05,0.60583918745729,48ºC 
49,1.25e-05,0.766650414929099,49ºC 
46,6.25e-06,0.309201222359251,46ºC 
47,6.25e-06,0.509893937061029,47ºC 
48,6.25e-06,0.706358970215828,48ºC 
49,6.25e-06,0.84693307774897,49ºC 
46,3.625e-06,0.371342885030494,46ºC 
47,3.625e-06,0.587182720361404,47ºC 
48,3.625e-06,0.773056193629978,48ºC 
49,3.625e-06,0.890274282064668,49ºC 
46,1.8e-06,0.376858601773129,46ºC 
47,1.8e-06,0.593037083147117,47ºC 
48,1.8e-06,0.777385765067554,48ºC 
49,1.8e-06,0.892739270733728,49ºC 
46,9e-07,0.373865400791919,46ºC 
47,9e-07,0.590087560893467,47ºC 
48,9e-07,0.775362724003077,48ºC 
49,9e-07,0.891671672610931,49ºC 
46,4.5e-07,0.396486575947636,46ºC 
47,4.5e-07,0.619855225648162,47ºC 
48,4.5e-07,0.800964332928128,48ºC 
49,4.5e-07,0.908055671347923,49ºC 
46,2.2e-07,0.385985871592972,46ºC 
47,2.2e-07,0.61163717139461,47ºC 
48,2.2e-07,0.796878203561558,48ºC 
49,2.2e-07,0.90669450967747,49ºC 
46,1.1e-07,0.400988091381584,46ºC 
47,1.1e-07,0.623330766686119,47ºC 
48,1.1e-07,0.80268059593759,48ºC 
49,1.1e-07,0.90862599094829,49ºC 
