Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
30.7,42.5,7518,6955,-17.1,-18.5,0,Rep 1. 0.11 uM
30.7,41.9,7526,6963,-17.1,-18.5,0,Rep 2. 0.11 uM
31.4,51,7480,7037,-17.1,-18.5,0,Rep 1. 0.22 uM
31.6,49.8,7506,7070,-17.1,-18.5,0,Rep 2. 0.22 uM
31,47.5,7470,6999,-17.1,-18.5,0,Rep 1. 0.45 uM
31.7,51.8,7490,7066,-17.1,-18.5,0,Rep 2. 0.45 uM
30.8,38.1,7494,6904,-17.1,-18.5,0,Rep 1. 0.9 uM
31.2,41.5,7467,6958,-17.1,-18.5,0,Rep 2. 0.9 uM
30.7,38.9,7442,6876,-17.1,-18.5,0,Rep 1. 1.8 uM
31.2,39.6,7460,6944,-17.1,-18.5,0,Rep 2. 1.8 uM
31.2,35.7,7451,6879,-17.1,-18.5,0,Rep 1. 3.6 uM
31.6,39.4,7449,6978,-17.1,-18.5,0,Rep 2. 3.6 uM
32.4,32,7441,6933,-17.1,-18.5,0,Rep 1. 6.2 uM
32.4,34.7,7474,7016,-17.1,-18.5,0,Rep 2. 6.2 uM
35.5,30.6,7496,7141,-17.1,-18.5,0,Rep 1. 12 uM
35.6,29.9,7477,7081,-17.1,-18.5,0,Rep 2. 12 uM
41.6,29.3,7481,7233,-17.1,-18.5,0,Rep 1. 25 uM
41.3,27.9,7454,7195,-17.1,-18.5,0,Rep 2. 25 uM
47.4,42.6,7396,7397,-17.1,-18.5,0,Rep 1. 50 uM
47.8,43.2,7430,7416,-17.1,-18.5,0,Rep 2. 50 uM
48.9,71,7456,7619,-17.1,-18.5,0,Rep 1. 100 uM
49,63.3,7458,7604,-17.1,-18.5,0,Rep 2. 100 uM
49.3,135,7721,8012,-17.1,-18.5,0,Rep 1. 200 uM
49.4,130,7693,7972,-17.1,-18.5,0,Rep 2. 200 uM
