(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.54,1.9,0.37,0.57,-0.5,-0.67,NA,Rep 1. 0.11 uM
0.56,1.9,0.37,0.57,-0.5,-0.67,NA,Rep 2. 0.11 uM
0.38,1.9,0.37,0.54,-0.5,-0.67,NA,Rep 1. 0.22 uM
0.38,1.9,0.37,0.54,-0.5,-0.67,NA,Rep 2. 0.22 uM
0.45,1.9,0.38,0.55,-0.5,-0.67,NA,Rep 1. 0.45 uM
0.35,1.8,0.37,0.54,-0.5,-0.67,NA,Rep 2. 0.45 uM
0.64,2,0.38,0.59,-0.5,-0.67,NA,Rep 1. 0.9 uM
0.54,2,0.38,0.57,-0.5,-0.67,NA,Rep 2. 0.9 uM
0.64,2,0.38,0.59,-0.5,-0.67,NA,Rep 1. 1.8 uM
0.59,2,0.38,0.57,-0.5,-0.67,NA,Rep 2. 1.8 uM
0.66,2,0.38,0.59,-0.5,-0.67,NA,Rep 1. 3.6 uM
0.56,2,0.38,0.56,-0.5,-0.67,NA,Rep 2. 3.6 uM
0.7,2.1,0.38,0.57,-0.5,-0.67,NA,Rep 1. 6.2 uM
0.63,2.1,0.38,0.56,-0.5,-0.67,NA,Rep 2. 6.2 uM
0.53,2.2,0.38,0.53,-0.5,-0.67,NA,Rep 1. 12 uM
0.52,2.2,0.39,0.53,-0.5,-0.67,NA,Rep 2. 12 uM
0.33,2.3,0.39,0.51,-0.5,-0.67,NA,Rep 1. 25 uM
0.36,2.4,0.39,0.51,-0.5,-0.67,NA,Rep 2. 25 uM
0.27,2.5,0.39,0.5,-0.5,-0.67,NA,Rep 1. 50 uM
0.26,2.4,0.39,0.5,-0.5,-0.67,NA,Rep 2. 50 uM
0.23,3.4,0.38,0.49,-0.5,-0.67,NA,Rep 1. 100 uM
0.25,3.3,0.38,0.49,-0.5,-0.67,NA,Rep 2. 100 uM
0.24,6.7,0.37,0.47,-0.5,-0.67,NA,Rep 1. 200 uM
0.23,6.1,0.37,0.48,-0.5,-0.67,NA,Rep 2. 200 uM
