2e-04 2514.14208953441
2e-04 2471.26615388561
1e-04 2089.62995204182
1e-04 2074.34095086617
5e-05 1871.42417641405
5e-05 1887.20559093037
2.5e-05 1755.12166939526
2.5e-05 1721.12636190987
1.25e-05 1757.03184513865
1.25e-05 1698.84443447992
6.25e-06 1640.62471179722
6.25e-06 1694.53594970924
3.625e-06 1608.10031944955
3.625e-06 1654.58337184805
1.8e-06 1619.05259674385
1.8e-06 1650.0491026842
9e-07 1648.66103422088
9e-07 1650.37130774979
4.5e-07 1657.58591181015
4.5e-07 1677.66529401652
2.2e-07 1661.81235298917
2.2e-07 1696.5096013229
1.1e-07 1671.81148278962
1.1e-07 1680.25261379785
