ts,conc,fu,legend
33,2e-04,1.32090975637029e-05,33ºC 
35.3333333333333,2e-04,7.06821247106918e-05,35.3ºC 
37.6666666666667,2e-04,0.000368726427232209,37.7ºC 
40,2e-04,0.001874480560549,40ºC 
33,1e-04,0.00312049420619675,33ºC 
35.3333333333333,1e-04,0.00750717671003529,35.3ºC 
37.6666666666667,1e-04,0.0177174521903822,37.7ºC 
40,1e-04,0.0407284254652766,40ºC 
33,5e-05,0.0412645278235727,33ºC 
35.3333333333333,5e-05,0.0681499192824545,35.3ºC 
37.6666666666667,5e-05,0.109752492030327,37.7ºC 
40,5e-05,0.170956510650387,40ºC 
33,2.5e-05,0.212017841210406,33ºC 
35.3333333333333,2.5e-05,0.279237738573393,35.3ºC 
37.6666666666667,2.5e-05,0.35682756951295,37.7ºC 
40,2.5e-05,0.44141390387874,40ºC 
33,1.25e-05,0.398692962241678,33ºC 
35.3333333333333,1.25e-05,0.492269601302179,35.3ºC 
37.6666666666667,1.25e-05,0.585006648364588,37.7ºC 
40,1.25e-05,0.67085789924425,40ºC 
33,6.25e-06,0.525782681306175,33ºC 
35.3333333333333,6.25e-06,0.62260240162182,35.3ºC 
37.6666666666667,6.25e-06,0.709308702762773,37.7ºC 
40,6.25e-06,0.782043696211564,40ºC 
33,3.625e-06,0.583619374600717,33ºC 
35.3333333333333,3.625e-06,0.685899527193907,35.3ºC 
37.6666666666667,3.625e-06,0.771663903007916,37.7ºC 
40,3.625e-06,0.838611711790376,40ºC 
33,1.8e-06,0.617832867209531,33ºC 
35.3333333333333,1.8e-06,0.723938284919544,35.3ºC 
37.6666666666667,1.8e-06,0.808538376570716,37.7ºC 
40,1.8e-06,0.871007851969391,40ºC 
33,9e-07,0.612665726619523,33ºC 
35.3333333333333,9e-07,0.717603790730232,35.3ºC 
37.6666666666667,9e-07,0.802114653880329,37.7ºC 
40,9e-07,0.865245915899346,40ºC 
33,4.5e-07,0.623464792685019,33ºC 
35.3333333333333,4.5e-07,0.749273445154828,35.3ºC 
37.6666666666667,4.5e-07,0.842418762330456,37.7ºC 
40,4.5e-07,0.90458703260917,40ºC 
33,2.2e-07,0.611024160571565,33ºC 
35.3333333333333,2.2e-07,0.747613535280769,35.3ºC 
37.6666666666667,2.2e-07,0.846927896988672,37.7ºC 
40,2.2e-07,0.911021975587541,40ºC 
33,1.1e-07,0.627677435269725,33ºC 
35.3333333333333,1.1e-07,0.740958536080358,35.3ºC 
37.6666666666667,1.1e-07,0.828027155927423,37.7ºC 
40,1.1e-07,0.889407356775301,40ºC 
